BEV_DICHTH,OPP_WATER,AF_TREINST,AF_OVERST,AF_ZWEMB,AF_BIBLIO,P_SOCMINH,AV3_ARTSPR,AV1_SUPERM,AF_DAGLMD,AF_ZIEK_I,AF_POP,AV1_KDV,AV1_ONDBAS,AANTAL_HH,P_EENP_HH,P_HH_Z_K,P_HH_M_K,GEM_HH_GR,P_WEST_AL,P_N_W_AL,P_MAROKKO,P_ANT_ARU,P_SURINAM,P_TURKIJE,rail,residentials,parcs,recreational,forest,motor,road,agric,industrie,monu_dens,houses_before45,houses60_81,houses45_60,houses_after91,dom45_60,dom60_70,dom80_85,dom1900,ratiofree,ratiorow,ratioindustrie,ratiomeeting,horeca,score
1722,3,7.8,12.1,1,0.8,5,3,2.4,0.5,9.2,21.5,1.3,2,4140,31,36,32,2.2,5,4,1,0,0,0,3958.749662,0,0,5000,49.75784899,1970.025428,2896.587472,165.131432,3129.756125,0.04,0.070175439,0.245614035,0.157894737,0.456140351,0.103402607,0.626340301,0.064739627,0.979661017,0.33559322,0.057627119,0.2,0.061016949,0.019683695,7
1137,0,8.2,13,0.9,1.6,8,3,0,1.1,9.6,22.6,0.1,2.1,935,27,29,44,2.5,6,3,1,0,0,0,393.2540799,0,182.1411174,901.2564942,403.8828721,2620.794038,1353.891666,458.1006276,1206.158632,0,0.376963351,0.277486911,0.246073298,0,0.082326388,0.107022226,1.060858785,0.933375422,0.416666667,0.125,0.0625,0.020833333,0.027475091,8
971,0,6.8,11.9,1.2,1.6,1,3,0,1.2,8.2,21.4,1.2,1,210,12,26,62,3.1,5,2,0,0,0,0,334.776232,0,65.82181033,2867.76365,238.2071757,360.4716812,929.2628832,267.4955747,318.9985685,0,0.092592593,0.546296296,0.203703704,0.148148148,0.004271791,0,0.127086231,1,0.344086022,0.23655914,0.064516129,0.021505376,0.047564499,7
762,0,3.3,10.2,2.9,2.7,2,2.2,0,2.1,7.8,10.9,0,1,415,21,36,43,2.6,8,1,0,0,0,0,1235.197527,0,186.0436382,2235.487609,190.6488987,4636.959358,557.8994368,775.6815921,506.7652464,0.01,0.443254818,0.254817987,0.051391863,0.085653105,0.147325159,0.118216768,0.340982157,0.793321861,0.886363636,0.022727273,0,0.022727273,0.018299173,8
2175,0,1.7,8.6,1.3,0.8,7,5.3,1.7,0.4,6.2,9.3,0.5,1.7,4015,36,33,31,2.1,11,5,2,0,0,0,479.7032527,0,95.12529324,1094.624999,110.9509648,5000,523.072431,686.0893046,738.8866023,0.01,0.339130435,0.202898551,0.086956522,0.223188406,2.284101301,7.935665971,12.27175636,0.715989797,0.460784314,0.068627451,0.029411765,0.009803922,0.054086093,7
2032,0,2.6,7.2,0.9,1.9,4,7.8,0,0.4,4.7,7.9,1.9,0.9,1020,21,38,42,2.5,9,4,1,0,0,0,379.0714187,0,39.39152575,1005.003991,253.5884075,5000,560.7931697,777.0797256,1192.357148,0,0.033898305,0.038135593,0.733050847,0.150423729,0.180429595,0.228421397,0.103856633,0.945278662,0.888888889,0,0.055555556,0.018518519,0.027102755,7
646,0,1.1,8.1,2.6,3.6,5,3.8,0.7,0.5,5.7,8.8,0,0.7,1515,25,40,35,2.3,10,2,0,0,0,0,963.8498735,0,0,1470.385939,379.8297784,5000,297.4628236,316.376839,1094.599779,0.02,0,0.397009967,0.38538206,0.217607973,0.043274109,0.534790498,0.074623589,0.853543495,0.566666667,0.333333333,0,0,0.002649628,7
1136,5,3.2,10.1,9.7,0.5,5,1.4,0.9,0.5,10.2,10.9,0.9,0.8,905,26,38,36,2.4,8,1,0,0,0,0,440.1950608,0,9.606926632,862.0591029,187.0276091,5000,373.1395348,277.6961955,809.640228,0.02,0.084337349,0.56626506,0.078313253,0.210843373,0.482507641,2.06909376,0.345248576,0.886363636,0.727272727,0.136363636,0.022727273,0.022727273,0.008316525,7
1442,20,0.9,11.8,7.4,3.2,6,2.1,2,0.6,10.2,12.3,0.8,0.7,2775,31,34,35,2.2,12,5,2,0,0,0,534.2403813,0,179.0806158,1360.361113,167.5375863,5000,154.6753811,679.3321408,1233.602175,0,0.342975207,0.123966942,0.111570248,0.330578512,0.519888288,0.078554042,0.25593577,0.98886812,0.87037037,0,0.092592593,0.018518519,0.036627026,7
1923,0,1.2,12.1,7.3,4.2,7,1,1.8,0.5,10.9,12.4,1.6,1.7,1930,24,34,42,2.5,11,7,4,0,0,1,310.8403644,0,60.02264243,1878.08981,49.35504322,5000,581.3379174,588.8710059,551.0074851,0,0.01369863,0.98630137,0,0,0.045420467,0.055835429,0.159325119,0.970096783,0.842105263,0.026315789,0.236842105,0.026315789,0.024916199,6
258,23,12.2,23.9,10.1,10.5,5,0,0,4.1,15.9,23,1.6,0.8,365,23,37,40,2.5,8,1,0,0,0,0,696.9844695,0,62.57812784,496.5862481,188.6431807,641.5387081,513.0680475,659.5294272,672.0512516,0,0.331360947,0.431952663,0.082840237,0.153846154,0.301349935,0.335916083,0.053988185,1,0.777777778,0,0,0,0.024300334,6
1737,0,9.5,25.8,6,6.4,4,1,1,0.6,13.2,24.8,1.8,0.8,615,21,34,45,2.5,10,1,0,0,0,0,2416.363662,0,0,3138.147286,316.3015447,3809.45474,429.53101,279.9166666,1263.22163,0,0,0.779475983,0.18558952,0.034934498,0.736320368,1.029103281,0.513765275,1,0.67961165,0.009708738,0.009708738,0,0.004067526,6
