,BU_NAAM,GM_NAAM,BEV_DICHTH,OPP_WATER,AV1_CAFE,AF_TREINST,AF_OVERST,AF_ZWEMB,AF_BIBLIO,P_SOCMINH,AV3_ARTSPR,AV1_SUPERM,AF_DAGLMD,AF_ZIEK_I,AF_POP,AV1_KDV,AV1_ONDBAS,AV1_RESTAU,AANTAL_HH,P_EENP_HH,P_HH_Z_K,P_HH_M_K,GEM_HH_GR,P_WEST_AL,P_N_W_AL,P_MAROKKO,P_ANT_ARU,P_SURINAM,P_TURKIJE,rail,residentials,parcs,recreational,forest,motor,road,water,agric,industrie,monu_dens,houses_before45,houses60_81,houses45_60,houses_after91,dom45_60,dom60_70,dom80_85,dom1900,ratiofree,ratiorow,ratioindustrie,ratiomeeting,score
0,Parkheide,Landgraaf,3645,0,2.9,3.3,6.3,0.9,1.4,5,6,0.6,0.7,6.5,6,0,1.9,1.6,730,16,31,53,2.6,15,1,0,0,0,0,2248.989371,0,5.322075054,591.1219044,25.50161179,5000,2923.783235,5000,274.1825556,326.9825676,0,0,0,0,1,0.064809753,0.065129028,0.010288641,1,0.627659574,0.074468085,0.010638298,0,7 Goed
1,Namiddagsche Driessen,Landgraaf,5855,0,3.2,3.3,6.9,1.5,1.1,5,4.1,1.3,0.7,6.6,6.6,0,1.7,2.7,495,17,35,48,2.5,21,3,0,0,0,1,2573.386233,0,239.3887077,1022.877599,239.2923704,5000,3108.513744,5000,229.2636475,762.7346514,0,0,0.213740458,0.030534351,0.007633588,1.031216324,0.238721566,0.396089102,1,0.687022901,0.061068702,0.053435115,0.007633588,6 Ruim voldoende
2,Oud Nieuwenhagen,Landgraaf,4270,0,8.4,2.2,5,1,0.5,12,8.6,1,0.4,6.1,4.7,1.2,2,3.1,1715,41,29,29,2,21,3,0,1,0,0,1104.505718,0,50.86642538,804.5736584,17.50912164,5000,1976.327661,5000,554.1474833,591.8877921,0,0.185840708,0.14159292,0.495575221,0.150442478,0.328331105,0.137597553,0.020017912,1.00055925,0.522123894,0.088495575,0.061946903,0.008849558,6 Ruim voldoende
3,Hoefveld,Landgraaf,2106,0,3.4,1.8,5.2,1.7,0.7,3,9.2,0.1,0.6,5.5,4.9,0.5,1,1.1,615,20,46,34,2.3,17,2,0,0,0,0,694.2976795,0,50.52438628,1320.123276,37.23734453,5000,1440.426008,5000,510.1091111,1069.668203,0,0,0.645454545,0,0.281818182,0.10696695,0.053805978,0.140434719,1,0.736363636,0.009090909,0.018181818,0.018181818,7 Goed
4,Op de Kamp,Landgraaf,4992,0,5.6,1.8,4.4,1.4,0.8,9,8.1,2,0.3,6.3,4.1,1,2.3,5.7,430,41,35,24,1.9,24,4,0,0,0,1,865.8694591,0,34.00662951,1058.311849,138.8483635,5000,2102.440843,5000,905.5694213,940.8844631,0,0.032520325,0.037940379,0.176151762,0.162601626,0.145308529,0.065520813,0.385149584,0.995723654,0.414634146,0.097560976,0.075880759,0.005420054,6 Ruim voldoende
5,Exdel,Landgraaf,1347,0,2,2,4.5,1.9,1.5,9,6.7,1.5,0.8,6.8,4.3,0.9,1.4,3.3,235,28,43,29,2.1,17,3,0,0,0,1,1304.113768,0,211.5354753,1108.324839,51.56209042,5000,1638.45769,5000,295.140795,1087.602238,0,0.018691589,0.299065421,0.177570093,0.056074766,0.236382588,0.07220075,0.79299879,0.990272313,0.76635514,0.028037383,0.186915888,0.018691589,8 Zeer goed
6,Eiske,Landgraaf,4005,0,0.6,2,3.9,4.4,1,11,8.5,0.8,0.2,4.7,3.3,0.9,1.3,0.1,740,30,35,35,2.1,19,5,1,0,0,1,1417.532101,0,43.18697859,2474.49192,304.6075267,3764.220721,285.0234326,5000,240.2146258,234.0772754,0.1,0.108433735,0.340361446,0.361445783,0.036144578,1.132136408,0.524366,0.241265128,1,0.659638554,0.021084337,0.078313253,0.012048193,7 Goed
7,Heistraat,Landgraaf,2772,0,1,3,4.7,4.3,2,4,7.2,0,0.8,3.9,4.1,0.8,0.1,0.8,230,14,34,52,2.7,11,2,0,0,1,0,2306.008446,0,118.7610088,1696.51496,71.73790403,3556.78028,152.0110581,5000,571.4531291,789.0707339,0,0.265306122,0,0,0.693877551,0.690046242,0.621719341,0.154231621,1.109225551,0.755102041,0.040816327,0.06122449,0,9 Uitstekend
9,Nieuwenhagerheide,Landgraaf,4603,0,5.9,2.4,5,1.1,1.1,9,7.6,1.1,0.6,6.1,4.7,1.6,1.3,2.7,1520,31,37,31,2.1,20,5,1,0,0,0,1206.15152,314.3447532,0,1939.338212,59.82597759,4874.722157,1009.293955,5000,632.9691547,332.2051977,0,0,0,0,0,0.3686845,0.346171784,0.833263649,1,0.401129944,0.050847458,0.118644068,0.005649718,6 Ruim voldoende
10,Swolgen,Horst aan de Maas,2635,0,0,9.5,16.9,7.5,5.7,4,0,0,3.1,7.6,15.9,2,1,1,350,22,36,42,2.5,6,1,-99999999,-99999999,-99999999,-99999999,1526.17378,0,107.4875116,461.608054,274.7418936,5000,2304.904456,5000,344.1904544,419.4408641,0.01,0,0.700564972,0.192090395,0.107344633,0.271429394,0.287154101,0.360526615,0.951531273,0.680412371,0.092783505,0.020618557,0.06185567,8 Zeer goed
